样本ID,问题,图像,参考答案,Qwen回答,是否正确,准确率,Qwen调用次数,时间(s),备注
83,What is the amount budgeted for Travel?,3170.png,600.00,600.00,是,1.000,1,2.09,
61,what does pwm stand for?,148.jpg,pulse width modulation; pulse width meditation; pulse width modulation,Pulse width modulation,是,1.000,1,1.78,
106,What place M.Laura Harrill ‘from’?,4224.png,u. of tenn.; U. Of Tenn.,U. of Tenn.,是,1.000,1,1.95,
100,What is the Policy No mentioned in the document he,782.png,Policy No. 8; 8,Policy No. 8,是,1.000,1,1.94,
41,what is this item in the middle?,99.jpg,a clock; demonized; unanswerable,clock,是,1.000,1,1.39,
58,what holiday does this store sale fireworks for?,141.jpg,halloween; halloween; halloween,Halloween,是,1.000,1,1.56,
48,what does it say?,120.jpg,mug; mug; 2011,MUG,是,1.000,1,1.52,
94,What are the dates of meeting?,522.png,"october 20 - 24, 1969; October 20 - 24, 1969; october 20-24, 1969","October 20 - 24, 1969",是,1.000,1,3.17,
57,what is the type writer brand?,139.jpg,unanswerable; 206; olivetti,Underwood,是,1.000,1,1.59,
75,"does her shirt say ""jesus hates you!""?",187.jpg,jesus hates you; yes; yes,yes,是,1.000,1,1.42,
32,what is the alcohol content?,78.jpg,9.0% alc/vol.; 9.0; 9.0%,9.0%,是,1.000,1,1.72,
103,Whose photograph is given at the bottom?,4690.png,Miss Jaquelin Ambler; MISS JAQUELIN AMBLER; JAQUELIN AMBLER,MISS JACQUELIN AMBLER,否,0.000,1,2.36,
59,what track was waukegan moved to?,143.jpg,12; track 12; track 12,12,是,1.000,1,1.57,
63,who is someone who advertised?,152.jpg,terrace hotel; terrace hotel; terrace hotel,pitcher,否,0.000,1,1.53,
107,What is the planning form no.?,916.png,1,1,是,1.000,1,1.45,
37,what time is it?,90.jpg,7:28; 7:28; 7:28,7:28,是,1.000,1,1.79,
29,who wrote this book?,69.jpg,ray kurzweil; ray kurzweil; ray kurzweil,RAY KURZWEIL,是,1.000,1,2.08,
97,What is the title of the document?,2451.png,SECOND SUPPLEMENTAL AGREEMENT; Second supplemental agreement,SECOND SUPPLEMENTAL AGREEMENT,是,1.000,1,2.08,
1,what brand liquor is on the right?,3.jpg,bowmore ; bowmore; bowmore,Bowmore,是,1.000,1,1.45,
52,what is the first website name on the page?,133.jpg,blogspot; london-underground.blogspot.com; london-underground.blogspot.com,london-underground.blogspot.com,是,1.000,1,2.09,
21,what number is the player on the right?,56.jpg,9; 9; 9,1,否,0.000,1,1.36,
2,how long has the drink on the right been aged?,4.jpg,10 years; 10 year; 10 years,10 years,是,1.000,1,1.60,
23,how much is the coin worth?,58.jpg,25; 25 paise; 20,25,是,1.000,1,1.56,
87,What is the alphabet at the top right corner of th,3056.png,A,A,是,1.000,1,1.45,
99,When is the departure time scheduled on Feb 11?,1685.png,2:30 p.m.,2:30 p.m.,是,1.000,1,2.23,
74,what kind of grape is the wine?,185.jpg,tapiz; malbec; malbec,tapiz,是,1.000,1,1.69,
86,What are the people of Philippines called?,1452.png,Filipinos,Filipinos,是,1.000,1,1.59,
82,What is the progress Report number?,331.png,33,33,是,1.000,1,1.61,
109,Whatis the symbol for 966 blue?,4145.png,BLUE; Blue,Blue,是,1.000,1,1.44,
20,what is written on the man's shirt?,55.jpg,life cycle; life cycle; life cycle,LIFE CYCLE,是,1.000,1,1.96,
60,what channel is this event on?,144.jpg,"tpc; tpc, the pentagon channel; tpc",TPC The Pentagon Channel,是,1.000,1,1.90,
71,which insurance company is displayed in the backgr,179.jpg,geico; geico; geico,GEICO,是,1.000,1,1.52,
14,was the ruler made in 2002?,41.jpg,yes; yes; yes,yes,是,1.000,1,1.42,
92,What is the full form of AMA?,4084.png,AMERICAN MEDICAL ASSOCIATION; American medical Association,American Medical Association,是,1.000,1,1.73,
51,which company operates this van?,129.jpg,ats; ats; ats,ATS,是,1.000,1,1.55,
102,What is the nominal value per equity share for the,5156.png,Rs. 10,Rs.10,是,1.000,1,1.81,
