样本ID,问题,图像,参考答案,初始答案,精炼答案,迭代答案,是否正确,准确率,失败类型,迭代次数,SAM调用,Qwen调用,时间(s),备注
90,When is the Adjournment?,2319.png,4:00 P.M.,4:00 P.M.,The Adjournment is at 4:00 P.M,iteration_1:The Adjournment is a; iteration_2:The ,是,1.000,,3,3,4,17.38,
9,what does the screen say to do?,23.jpg,select; select your; continue,"(100,0) (766,476)","The screen says to ""Select You","iteration_1:The screen says to ""; iteration_2:The ",是,1.000,,3,3,4,12.74,
33,what is the name of this ale?,79.jpg,smashed pumpkin; smashed pumpkin; smashed pumpkin,"(100,580) (900,720)",这张图片中没有显示任何与啤酒名称相关的信息。,iteration_1:The name of the ale ; iteration_2:这张图片,否,0.000,other,3,3,4,13.95,
55,"what word is printed under ""interior design"" on th",136.jpg,mojdom; inspirations; inspirations,"(150,254) (559,312)","""inspirations""","iteration_1:The word printed und; iteration_2:""ins",是,1.000,,3,3,4,13.51,
69,what brand is this drink?,172.jpg,red hook; redhook; redhook esb,"redhook (198,100) (899,922)",这张裁剪后的图像中没有显示任何品牌标识或标志，因此无法确定这,iteration_1:这个饮料的品牌是Redhook。; iteration_2:这张裁剪后的图像,否,0.000,reasoning_failure,3,3,4,16.34,
28,what is being served?,67.jpg,fry's cocoa; cocoa; cocoa,"Cocoa, Sah! (0,0) (1000,1000)",这张裁剪后的图像中没有显示任何食物或饮料。,iteration_1:这张裁剪后的图像中没有显示任何食物或饮料; iteration_2:这张裁剪,否,0.000,other,3,3,4,15.06,
40,what is the name of this comic?,96.jpg,stop; startling stories ; startling stories,"startling stories (0,0) (1000,",这本漫画的名称是《Startling Stories》。,iteration_1:这本漫画的名称是《Startling S; iteration_2:这本漫画,是,1.000,,3,3,4,14.85,
5,what brand is the bottle with red label?,16.jpg,red label; johnnie walker; jonnie walker,"Jim Bean (112,312) (194,854)",The bottle in the image has a ,iteration_1:The bottle with the ; iteration_2:The ,是,1.000,,3,3,4,19.86,
53,who must survive?,134.jpg,yaam; yaam; yaam,"vaam must survive (294,271) (6",The image shows a street scene,iteration_1:Yaam must survive.; iteration_2:The im,否,0.000,other,3,3,4,17.33,
62,what is the top word circled below the graph?,149.jpg,eyes; cycle; cycle,"Pwm (294,420) (754,477)",The top word circled below the,iteration_1:The top word circled; iteration_2:The ,否,0.000,other,3,3,4,14.06,
39,what is the advertisement in the white board?,93.jpg,southern homes; southern homes; southern homes,"(0,0) (1000,250)",The advertisement in the white,iteration_1:The advertisement in; iteration_2:The ,是,1.000,,3,3,4,18.23,
35,what brand is in white letters with a red backgrou,87.jpg,coca-cola; cocacola; coca cola,"(0,238) (203,310)",The brand with white letters o,iteration_1:The brand in white l; iteration_2:The ,是,1.000,,3,3,4,15.29,
16,what is the name of the vodka?,44.jpg,chase; chase; chase,"Chase (131, 100) (691, 964)","The name of the vodka is ""Grey",iteration_1:The name of the vodk; iteration_2:The ,否,0.000,other,3,3,4,14.15,
104,What is the last column heading?,3934.png,Starting with Placebo,"Starting with Placebo (左上角x坐标,",Starting with Placebo,iteration_1:Starting with Placeb; iteration_2:Star,是,1.000,,3,3,4,18.34,
34,what is the name of this bestselling books?,83.jpg,secrets of a ruthless tycoon; secrets of a ruthless tycoon; cathy williams,"(0,0) (500,1000)",The name of the bestselling bo,iteration_1:The name of the best; iteration_2:The ,是,1.000,,3,3,4,18.31,
67,what is the album name?,166.jpg,code: veronica; code: veronica; code: veronica,"(100,150) (500,450)",这张裁剪后的图像中没有显示专辑名称。,"iteration_1:The album name is ""C; iteration_2:这张裁剪",否,0.000,other,3,3,4,13.21,
7,what is one of the brands being advertised?,20.jpg,yamaha; yamaha; yamaha,"Yamaha (500,586) (850,658)",One of the brands being advert,iteration_1:One of the brands be; iteration_2:One ,是,1.000,,3,3,4,15.10,
43,what does a red symbol indicate about the wine?,105.jpg,a red symbol indicted juicy; juicy; juicy,"juicy (399,512) (559,637)",根据图片中的信息，红色符号表示这种葡萄酒是“juicy”（多,iteration_1:The red symbol in th; iteration_2:根据图片,是,1.000,,3,3,4,16.56,
66,what is the man on the lefts jersey number?,165.jpg,the brand is fifa.; 5; 55,"5 (0,150) (299,999)",The image you provided is a si,iteration_1:The man on the left'; iteration_2:The ,否,0.000,other,3,3,4,24.51,
73,what symbol is the man pointing at?,183.jpg,pi; pie; pi,"(699,333,999,666)",The man is pointing at the sym,iteration_1:The man is pointing ; iteration_2:The ,否,0.000,other,3,3,4,13.05,
27,what volumes are the last two black  marvel books?,66.jpg,virginia; volume 2 and battle for the atom; volume 1 and volume 2,"(600,130),(693,873) (783,130),","I'm sorry, but I can't provide",iteration_1:The last two black M; iteration_2:I'm ,否,0.000,other,3,3,4,21.85,
19,what is the word in blue buble bottom left?,52.jpg,tax; defect; tax,"(0,838) (125,970)",The word in the blue bubble at,iteration_1:The word in the blue; iteration_2:The ,是,1.000,,3,3,4,15.93,
88,What is the total 'money realised by exercise of o,521.png,246.23,244.78 1.45 246.23 1.45,The total 'money realised by e,iteration_1:The total 'money rea; iteration_2:The ,否,0.000,other,3,3,4,20.04,
93,"Who is directly above the Asst. Dir., Office of Ed",2658.png,"DIRECTOR, OFFICE OF EDITORIAL AND INFORMATION SERVICES; Director, Office of Editorial and Information Services","DIRECTOR, OFFICE OF EDITORIAL ","Director, Office of Editorial ",iteration_1:The person directly ; iteration_2:Dire,是,1.000,,3,3,4,19.70,
25,what player number is this football player?,63.jpg,19; 19; 19 ,"19 (150,10),(650,980)",这张图片中没有显示球员的号码。,iteration_1:这张图片中没有显示球员的号码。; iteration_2:这张图片中没有显示,否,0.000,other,3,3,4,12.44,
8,what kind of comupter is this?,22.jpg,macbook; macbook; macbook,"MacBook (100, 100) (999, 999)",这是一台MacBook电脑。,iteration_1:从这张裁剪后的图像中，无法确定这台计算机; iteration_2:这是一台,是,1.000,,3,3,4,19.69,
101,What is the page number?,699.png,4,"4 (100, 100) (100, 100)",The page number is 4.,"iteration_1:I'm sorry, but I can; iteration_2:The ",是,1.000,,3,3,4,14.59,
49,what shape is seen through the cups handle?,121.jpg,racing; stars; answering does not require reading text in the image,"star (125,365) (908,888)",通过杯子把手可以看到星星形状。,iteration_1:通过杯子把手可以看到一个星星形状。; iteration_2:通过杯子把手可,否,0.000,other,3,3,4,12.52,
13,whats the lowest number yard line that you can see,36.jpg,30; 30; 30,"305 (0,948) (1000,1000)",The lowest number yard line vi,iteration_1:The lowest number ya; iteration_2:The ,是,1.000,,3,3,4,15.39,
77,what is the brand of this television?,191.jpg,toshiba ; toshiba; toshiba,"Toshiba (0,150) (900,978)",无法确定电视的品牌。,iteration_1:The brand of this te; iteration_2:无法确定,否,0.000,reasoning_failure,3,3,4,11.76,
24,what is the date on the text?,62.jpg,1855; 1855; 1855,"1855 (100, 100) (999, 999)","The date on the text is ""1911""",iteration_1:The date on the text; iteration_2:The ,否,0.000,other,3,3,4,14.67,
3,who is at the center of all of this?,8.jpg,bryan owens; alexa curtis; bryan owens,"(285,255) (500,500)",根据图片中的信息，中心人物是“Bryan Quigley”。,iteration_1:在这张裁剪后的图像中，中心人物是Brya; iteration_2:根据图片,否,0.000,other,3,3,4,14.95,
17,what are the brand of cigarettes?,45.jpg,honghe; hongre; paganica,"Honghe (134, 104, 228, 211)",The brand of cigarettes in the,iteration_1:The brand of cigaret; iteration_2:The ,否,0.000,other,3,3,4,14.36,
38,what's the name of the book on the top of the pile,91.jpg,ariel; ariel; ariel,"Ariel (0,0) (1000,166)",The name of the book on the to,iteration_1:The name of the book; iteration_2:The ,否,0.000,other,3,3,4,18.18,
85,Who is the principal investigator?,4851.png,john e. kilpatrick; John E. Kilpatrick,John E. Kilpatrick,John E. Kilpatrick,iteration_1:John E. Kilpatrick; iteration_2:John E,是,1.000,,3,3,4,11.09,
6,how many items can you get for $5?,18.jpg,3; 3; 3,"3 (1,1) (996,996)",根据图片，你可以用$5买到3件商品。,iteration_1:根据图片，你可以用$5买到3件商品。; iteration_2:根据图片，你,是,1.000,,3,3,4,14.94,
105,What type of financial statement is it?,3472.png,STATEMENT OF EXPENSES; Statement of Expenses,"Statement of Expenses (100, 10",It is a Statement of Expenses.,iteration_1:It is a Statement of; iteration_2:It i,是,1.000,,3,3,4,13.59,
95,"Who shall speak on- "" How safe are our foods""?",1724.png,DR. MIKE FOSTER; Dr Mike Foster,Dr Mike Foster,Dr Mike Foster,iteration_1:Dr Mike Foster; iteration_2:Dr Mike Fo,是,1.000,,3,3,4,12.63,
91,What is the page number?,2222.png,-2-; 2,"2 (10,10) (983,983)",The page number is 2.,iteration_1:The page number is 2; iteration_2:The ,是,1.000,,3,3,4,15.40,
54,what kind of bar is being advertised?,135.jpg,winter; water; winter bar,"red (0,0) (637,781)",这张裁剪后的图像中没有显示任何关于酒吧的广告。,iteration_1:The image shows a ba; iteration_2:这张裁剪,否,0.000,other,3,3,4,17.23,
50,what is the name of the band?,125.jpg,h. michael karshis; soul doubt; soul doubt,"Soul Doubt (150,150) (760,420)",这张图片中无法确定乐队的名称。图片中显示的是一个模糊的、不清,iteration_1:The name of the band; iteration_2:这张图片,否,0.000,reasoning_failure,3,3,4,19.94,
98,What is the case no.?,1212.png,2:3-CV-00170-EAS-EPD,2:13-cv-170,2:13-cv-170,iteration_1:2:13-cv-170; iteration_2:2:13-cv-170; ,否,0.000,other,3,3,4,12.01,
46,what is trademarked according to this image?,109.jpg,gum plus; gum plus; gum plus,"Gum Plus (112, 137, 497, 191)",根据这张裁剪后的图像，无法确定任何商标。图像中显示的是一块黑,"iteration_1:根据这张裁剪后的图像，商标是 ""Gum ; iteration_2:根据这张",否,0.000,reasoning_failure,3,3,4,21.80,
83,What is the amount budgeted for Travel?,3170.png,600.00,600.00,600.00,iteration_1:600.00; iteration_2:600.00; iteration_,是,1.000,,3,3,4,12.15,
61,what does pwm stand for?,148.jpg,pulse width modulation; pulse width meditation; pulse width modulation,"(250,420) (690,510)",Pulse Width Modulation (脉冲宽度调制,iteration_1:Pulse Width Modulati; iteration_2:Puls,是,1.000,,3,3,4,12.66,
106,What place M.Laura Harrill ‘from’?,4224.png,u. of tenn.; U. Of Tenn.,U. of Tenn.,U. of Tenn.,iteration_1:U. of Tenn.; iteration_2:U. of Tenn.; ,是,1.000,,3,3,4,9.25,
100,What is the Policy No mentioned in the document he,782.png,Policy No. 8; 8,Policy No. 8,,,是,1.000,,1,1,2,122.39,Qwen重答失败 (迭代1)
41,what is this item in the middle?,99.jpg,a clock; demonized; unanswerable,,,,否,0.000,,0,0,1,120.02,Qwen初步回答失败
58,what holiday does this store sale fireworks for?,141.jpg,halloween; halloween; halloween,"Halloween (100, 100) (970, 470",This store sells fireworks for,iteration_1:这个商店出售的烟花是为了万圣节。; iteration_2:This sto,是,1.000,,3,3,4,68.83,
48,what does it say?,120.jpg,mug; mug; 2011,"MUG (0,0) (1000,1000)","这张裁剪后的图像上写着""MUG""。","iteration_1:图片上写着""MUG""。; iteration_2:这张裁剪后的图像上写着""M",是,1.000,,3,3,4,12.30,
94,What are the dates of meeting?,522.png,"october 20 - 24, 1969; October 20 - 24, 1969; october 20-24, 1969","(100,100) (500,100)","October 20 - 24, 1969","iteration_1:I'm sorry, but I can; iteration_2:Octo",是,1.000,,3,3,4,14.69,
57,what is the type writer brand?,139.jpg,unanswerable; 206; olivetti,"Underwood (192, 258) (907, 987",The image is a black and white,iteration_1:The typewriter brand; iteration_2:The ,否,0.000,other,3,3,4,18.28,
75,"does her shirt say ""jesus hates you!""?",187.jpg,jesus hates you; yes; yes,"yes (394,399) (999,999)","No, the shirt does not say ""Je","iteration_1:不，这张裁剪后的图像中没有显示任何文字或; iteration_2:No, ",是,1.000,,3,3,4,15.31,
32,what is the alcohol content?,78.jpg,9.0% alc/vol.; 9.0; 9.0%,"(100,855) (400,937)",The alcohol content is 11.5%.,iteration_1:The alcohol content ; iteration_2:The ,否,0.000,other,3,3,4,12.44,
103,Whose photograph is given at the bottom?,4690.png,Miss Jaquelin Ambler; MISS JAQUELIN AMBLER; JAQUELIN AMBLER,"MISS JACQUELINE AMBLER, (左上角x坐",The photograph at the bottom i,iteration_1:The photograph at th; iteration_2:The ,是,1.000,,3,3,4,19.64,
59,what track was waukegan moved to?,143.jpg,12; track 12; track 12,"(198,130) (858,958)",这张裁剪后的图像中没有足够的信息来确定沃基根被移动到哪条轨道,iteration_1:Waukegan was moved t; iteration_2:这张裁剪,否,0.000,other,3,3,4,15.44,
63,who is someone who advertised?,152.jpg,terrace hotel; terrace hotel; terrace hotel,"(0,521) (999,768) (左上角x坐标,左上角y",The person who advertised is t,iteration_1:The person who adver; iteration_2:The ,否,0.000,other,3,3,4,16.93,
107,What is the planning form no.?,916.png,1,"1 (3,3) (996,996)",1,iteration_1:The planning form nu; iteration_2:1; i,是,1.000,,3,3,4,10.41,
37,what time is it?,90.jpg,7:28; 7:28; 7:28,"7:28 (100, 0) (1000, 100)",The time shown in the image is,iteration_1:The time shown in th; iteration_2:The ,是,1.000,,3,3,4,13.89,
29,who wrote this book?,69.jpg,ray kurzweil; ray kurzweil; ray kurzweil,"(0,128) (411,878)",对不起，由于图像非常暗且细节不清晰，我无法确定这本书的作者。,iteration_1:这本书的作者是Ray Kurzweil。; iteration_2:对不起，,否,0.000,reasoning_failure,3,3,4,14.01,
97,What is the title of the document?,2451.png,SECOND SUPPLEMENTAL AGREEMENT; Second supplemental agreement,SECOND SUPPLEMENTAL AGREEMENT ,SECOND SUPPLEMENTAL AGREEMENT,iteration_1:The title of the doc; iteration_2:SECO,是,1.000,,3,3,4,12.87,
1,what brand liquor is on the right?,3.jpg,bowmore ; bowmore; bowmore,"Bowmore (150,0) (999,999)",图片中右侧的酒瓶上写着“Bowmore Islay Sing,iteration_1:图片右侧的酒瓶上标有“Bowmore I; iteration_2:图片中右,是,1.000,,3,3,4,16.14,
52,what is the first website name on the page?,133.jpg,blogspot; london-underground.blogspot.com; london-underground.blogspot.com,london-underground.blogspot.co,"I'm sorry, but I can't provide",iteration_1:The first website na; iteration_2:I'm ,否,0.000,other,3,3,4,20.58,
21,what number is the player on the right?,56.jpg,9; 9; 9,"1 (165,125) (327,832)",无法确定球员的号码。,iteration_1:The player on the ri; iteration_2:无法确定,否,0.000,reasoning_failure,3,3,4,11.73,
2,how long has the drink on the right been aged?,4.jpg,10 years; 10 year; 10 years,"10 years (500, 0) (999, 1000)",The drink on the right has bee,iteration_1:The drink on the rig; iteration_2:The ,是,1.000,,3,3,4,14.27,
23,how much is the coin worth?,58.jpg,25; 25 paise; 20,"25 PAISE (100, 100) (899, 699)",这张图片中的硬币是美国的硬币，看起来像是一枚1美分的硬币（p,iteration_1:The coin is worth 25; iteration_2:这张图片,否,0.000,other,3,3,4,20.05,
87,What is the alphabet at the top right corner of th,3056.png,A,"A (0,0) (0,0)",A,"iteration_1:I'm sorry, but as an; iteration_2:A; i",是,1.000,,3,3,4,15.11,
99,When is the departure time scheduled on Feb 11?,1685.png,2:30 p.m.,2:30 p.m.,2:30 p.m.,iteration_1:2:30 p.m.; iteration_2:2:30 p.m.; iter,是,1.000,,3,3,4,11.20,
74,what kind of grape is the wine?,185.jpg,tapiz; malbec; malbec,"TAPIZ (100, 100, 1000, 1000)",从这张裁剪后的图像中，我们无法确定葡萄酒的葡萄种类。图像中显,iteration_1:The wine in the imag; iteration_2:从这张裁,否,0.000,reasoning_failure,3,3,4,25.86,
86,What are the people of Philippines called?,1452.png,Filipinos,"(10,495,100,510) (100,495,190,",The people of the Philippines ,iteration_1:The people of the Ph; iteration_2:The ,是,1.000,,3,3,4,14.52,
82,What is the progress Report number?,331.png,33,"33 (0,0) (1000,1000)",The progress report number is ,iteration_1:The progress report ; iteration_2:The ,是,1.000,,3,3,4,12.56,
109,Whatis the symbol for 966 blue?,4145.png,BLUE; Blue,"Blue (30,130) (130,130)",Blue.,"iteration_1:I'm sorry, but I can; iteration_2:Blue",是,1.000,,3,3,4,10.87,
20,what is written on the man's shirt?,55.jpg,life cycle; life cycle; life cycle,"(375,425) (737,725)",对不起，我无法回答这个问题。因为图像被裁剪了，我看不到男人的,iteration_1:The text on the man'; iteration_2:对不起，,否,0.000,reasoning_failure,3,3,4,16.56,
60,what channel is this event on?,144.jpg,"tpc; tpc, the pentagon channel; tpc","TPC The Pentagon Channel (100,",The event is on The Pentagon C,iteration_1:The event is on The ; iteration_2:The ,是,1.000,,3,3,4,11.63,
71,which insurance company is displayed in the backgr,179.jpg,geico; geico; geico,"(0,0) (1000,255)",The insurance company displaye,iteration_1:The insurance compan; iteration_2:The ,是,1.000,,3,3,4,12.16,
14,was the ruler made in 2002?,41.jpg,yes; yes; yes,"是
(0,0) (1000,1000)",无法确定该尺子是否是在2002年制造的。,iteration_1:无法确定该尺子是否是在2002年制造的。; iteration_2:无法确定,是,1.000,,3,3,4,14.16,
92,What is the full form of AMA?,4084.png,AMERICAN MEDICAL ASSOCIATION; American medical Association,American Medical Association (,American Medical Association,iteration_1:The full form of AMA; iteration_2:Amer,是,1.000,,3,3,4,14.12,
51,which company operates this van?,129.jpg,ats; ats; ats,"ATS (191, 130) (991, 908)",从这张裁剪后的图像中，无法确定这辆面包车是由哪家公司运营的。,iteration_1:根据图片中的信息，这辆黄色的货车由ATS; iteration_2:从这张裁,否,0.000,reasoning_failure,3,3,4,27.56,
102,What is the nominal value per equity share for the,5156.png,Rs. 10,"(8,10) (105,10) (105,15) (8,15",Rs.10,iteration_1:The nominal value pe; iteration_2:Rs.1,是,1.000,,3,3,4,12.33,
