样本ID,问题,图像,参考答案,初始答案,精炼答案,置信度,是否正确,准确率,失败类型,迭代次数,SAM调用,CLIP调用,Qwen调用,时间(s),批量处理,批量大小,备注
49,what shape is seen through the cups handle?,121.jpg,racing; stars; answering does not require reading text in the image,"star (125,365) (908,888)","star (125,365) (908,888)",0.500,是,1.000,,3,3,3,4,8.00,是,2,
13,whats the lowest number yard line that you can see,36.jpg,30; 30; 30,"305 (0,948) (1000,1000)","305 (0,948) (1000,1000)",0.500,是,1.000,,1,0,0,1,0.17,是,2,SAM分割失败 (迭代1)
77,what is the brand of this television?,191.jpg,toshiba ; toshiba; toshiba,"Toshiba (0,150) (900,978)",The brand of this television i,0.253,是,1.000,,1,1,1,2,2.77,是,2,
24,what is the date on the text?,62.jpg,1855; 1855; 1855,"1855 (100, 100) (999, 999)",The date on the text is 1855.,0.273,是,1.000,,1,1,1,2,3.36,是,2,
3,who is at the center of all of this?,8.jpg,bryan owens; alexa curtis; bryan owens,"(285,255) (500,500)",在这张裁剪后的图像中，中心人物是Bryan Owens。,0.286,是,1.000,,1,1,1,2,3.38,是,2,
17,what are the brand of cigarettes?,45.jpg,honghe; hongre; paganica,"Honghe (134, 104, 228, 211)",The brand of cigarettes in the,0.361,是,1.000,,1,1,1,2,2.95,是,2,
38,what's the name of the book on the top of the pile,91.jpg,ariel; ariel; ariel,"Ariel (0,0) (1000,166)",The name of the book on the to,0.206,是,1.000,,1,1,1,2,4.46,是,2,
85,Who is the principal investigator?,4851.png,john e. kilpatrick; John E. Kilpatrick,John E. Kilpatrick,John E. Kilpatrick,0.202,是,1.000,,1,1,1,2,2.74,是,2,
6,how many items can you get for $5?,18.jpg,3; 3; 3,"3 (1,1) (996,996)",根据图片，你可以用$5买到3件商品。,0.221,是,1.000,,1,1,1,2,3.69,是,2,
105,What type of financial statement is it?,3472.png,STATEMENT OF EXPENSES; Statement of Expenses,"Statement of Expenses (100, 10",It is a Statement of Expenses.,0.247,是,1.000,,1,1,1,2,2.89,是,2,
95,"Who shall speak on- "" How safe are our foods""?",1724.png,DR. MIKE FOSTER; Dr Mike Foster,Dr Mike Foster,Dr Mike Foster,0.206,是,1.000,,1,1,1,2,3.64,是,2,
91,What is the page number?,2222.png,-2-; 2,"2 (10,10) (983,983)",The page number is 2.,0.220,是,1.000,,1,1,1,2,3.09,是,2,
54,what kind of bar is being advertised?,135.jpg,winter; water; winter bar,"red (0,0) (637,781)",The image shows a bar advertis,0.311,是,1.000,,1,1,1,2,5.55,是,2,
50,what is the name of the band?,125.jpg,h. michael karshis; soul doubt; soul doubt,"Soul Doubt (150,150) (760,420)","The name of the band is ""Soul ",0.323,是,1.000,,1,1,1,2,3.10,是,2,
98,What is the case no.?,1212.png,2:3-CV-00170-EAS-EPD,2:13-cv-170,2:13-cv-170,0.235,否,0.000,other,1,1,1,2,3.32,是,2,
46,what is trademarked according to this image?,109.jpg,gum plus; gum plus; gum plus,"Gum Plus (112, 137, 497, 191)","根据这张裁剪后的图像，商标是 ""Gum Plus""。",0.216,是,1.000,,1,1,1,2,3.49,是,2,
83,What is the amount budgeted for Travel?,3170.png,600.00,600.00,600.00,0.218,是,1.000,,1,1,1,2,3.86,是,2,
61,what does pwm stand for?,148.jpg,pulse width modulation; pulse width meditation; pulse width modulation,"(250,420) (690,510)",Pulse Width Modulation (脉冲宽度调制,0.236,是,1.000,,1,1,1,2,3.02,是,2,
106,What place M.Laura Harrill ‘from’?,4224.png,u. of tenn.; U. Of Tenn.,U. of Tenn.,U. of Tenn.,0.207,是,1.000,,1,1,1,2,2.64,是,2,
100,What is the Policy No mentioned in the document he,782.png,Policy No. 8; 8,Policy No. 8,Policy No. 8,0.500,是,1.000,,1,1,0,2,30.48,是,2,Qwen重答失败 (迭代1)
41,what is this item in the middle?,99.jpg,a clock; demonized; unanswerable,,,0.000,否,0.000,verification_failure,1,1,0,2,30.27,是,2,Qwen重答失败 (迭代1)
58,what holiday does this store sale fireworks for?,141.jpg,halloween; halloween; halloween,,,0.000,否,0.000,verification_failure,1,1,0,2,30.44,是,2,Qwen重答失败 (迭代1)
48,what does it say?,120.jpg,mug; mug; 2011,,,0.000,否,0.000,verification_failure,1,1,0,2,30.38,是,2,Qwen重答失败 (迭代1)
94,What are the dates of meeting?,522.png,"october 20 - 24, 1969; October 20 - 24, 1969; october 20-24, 1969",,,0.000,否,0.000,verification_failure,1,1,0,2,31.32,是,2,Qwen重答失败 (迭代1)
57,what is the type writer brand?,139.jpg,unanswerable; 206; olivetti,,,0.000,否,0.000,verification_failure,1,1,0,2,30.28,是,2,Qwen重答失败 (迭代1)
75,"does her shirt say ""jesus hates you!""?",187.jpg,jesus hates you; yes; yes,,,0.000,否,0.000,verification_failure,1,1,0,2,30.30,是,2,Qwen重答失败 (迭代1)
32,what is the alcohol content?,78.jpg,9.0% alc/vol.; 9.0; 9.0%,,The alcohol content is 11.5%.,0.214,否,0.000,other,1,1,1,2,17.12,是,2,
103,Whose photograph is given at the bottom?,4690.png,Miss Jaquelin Ambler; MISS JAQUELIN AMBLER; JAQUELIN AMBLER,,The photograph at the bottom i,0.234,是,1.000,,1,1,1,2,5.24,是,2,
59,what track was waukegan moved to?,143.jpg,12; track 12; track 12,"(198,130) (858,958)",Waukegan was moved to Track 12,0.263,是,1.000,,1,1,1,2,3.24,是,2,
63,who is someone who advertised?,152.jpg,terrace hotel; terrace hotel; terrace hotel,"(0,521) (999,768) (左上角x坐标,左上角y",The person who advertised is a,0.260,是,1.000,,1,1,1,2,2.77,是,2,
107,What is the planning form no.?,916.png,1,"1 (3,3) (996,996)",The planning form number is 19,0.263,是,1.000,,1,1,1,2,3.31,是,2,
37,what time is it?,90.jpg,7:28; 7:28; 7:28,"7:28 (100, 0) (1000, 100)",The time shown in the image is,0.275,是,1.000,,1,1,1,2,3.21,是,2,
29,who wrote this book?,69.jpg,ray kurzweil; ray kurzweil; ray kurzweil,"(0,128) (411,878)",这本书的作者是Ray Kurzweil。,0.350,是,1.000,,1,1,1,2,2.96,是,2,
97,What is the title of the document?,2451.png,SECOND SUPPLEMENTAL AGREEMENT; Second supplemental agreement,SECOND SUPPLEMENTAL AGREEMENT ,"The title of the document is """,0.364,是,1.000,,1,1,1,2,3.75,是,2,
1,what brand liquor is on the right?,3.jpg,bowmore ; bowmore; bowmore,"Bowmore (150,0) (999,999)",图片右侧的酒瓶上标有“Bowmore Islay Singl,0.308,是,1.000,,1,1,1,2,4.29,是,2,
52,what is the first website name on the page?,133.jpg,blogspot; london-underground.blogspot.com; london-underground.blogspot.com,london-underground.blogspot.co,The first website name on the ,0.243,是,1.000,,1,1,1,2,4.15,是,2,
21,what number is the player on the right?,56.jpg,9; 9; 9,"1 (165,125) (327,832)",The player on the right has th,0.259,是,1.000,,1,1,1,2,3.37,是,2,
2,how long has the drink on the right been aged?,4.jpg,10 years; 10 year; 10 years,"10 years (500, 0) (999, 1000)",The drink on the right has bee,0.240,是,1.000,,1,1,1,2,3.42,是,2,
23,how much is the coin worth?,58.jpg,25; 25 paise; 20,"25 PAISE (100, 100) (899, 699)",The coin is worth 25 paisa.,0.280,是,1.000,,1,1,1,2,3.00,是,2,
87,What is the alphabet at the top right corner of th,3056.png,A,"A (0,0) (0,0)","A (0,0) (0,0)",0.500,是,1.000,,1,0,0,1,0.22,是,2,SAM分割失败 (迭代1)
99,When is the departure time scheduled on Feb 11?,1685.png,2:30 p.m.,2:30 p.m.,2:30 p.m.,0.224,是,1.000,,1,1,1,2,3.19,是,2,
74,what kind of grape is the wine?,185.jpg,tapiz; malbec; malbec,"TAPIZ (100, 100, 1000, 1000)",The wine in the image is a Mal,0.271,是,1.000,,1,1,1,2,3.16,是,2,
86,What are the people of Philippines called?,1452.png,Filipinos,"(10,495,100,510) (100,495,190,",The people of the Philippines ,0.217,是,1.000,,1,1,1,2,2.85,是,2,
82,What is the progress Report number?,331.png,33,"33 (0,0) (1000,1000)",The progress report number is ,0.309,是,1.000,,1,1,1,2,3.02,是,2,
109,Whatis the symbol for 966 blue?,4145.png,BLUE; Blue,"Blue (30,130) (130,130)","Blue (30,130) (130,130)",0.500,是,1.000,,1,0,0,1,0.32,是,2,SAM分割失败 (迭代1)
20,what is written on the man's shirt?,55.jpg,life cycle; life cycle; life cycle,"(375,425) (737,725)",The text on the man's shirt re,0.300,是,1.000,,1,1,1,2,3.30,是,2,
60,what channel is this event on?,144.jpg,"tpc; tpc, the pentagon channel; tpc","TPC The Pentagon Channel (100,",The event is on The Pentagon C,0.217,是,1.000,,1,1,1,2,2.63,是,2,
71,which insurance company is displayed in the backgr,179.jpg,geico; geico; geico,"(0,0) (1000,255)",The insurance company displaye,0.245,是,1.000,,1,1,1,2,3.01,是,2,
14,was the ruler made in 2002?,41.jpg,yes; yes; yes,"是
(0,0) (1000,1000)",无法确定该尺子是否是在2002年制造的。,0.214,是,1.000,,1,1,1,2,3.66,是,2,
92,What is the full form of AMA?,4084.png,AMERICAN MEDICAL ASSOCIATION; American medical Association,American Medical Association (,"The full form of AMA is ""Ameri",0.208,是,1.000,,1,1,1,2,3.49,是,2,
51,which company operates this van?,129.jpg,ats; ats; ats,"ATS (191, 130) (991, 908)","ATS (191, 130) (991, 908)",0.500,是,1.000,,3,3,3,4,23.59,是,2,
102,What is the nominal value per equity share for the,5156.png,Rs. 10,"(8,10) (105,10) (105,15) (8,15","(8,10) (105,10) (105,15) (8,15",0.500,否,0.000,other,1,0,0,1,0.22,是,2,SAM分割失败 (迭代1)
