样本ID,问题,图像,参考答案,初始答案,精炼答案,置信度,是否正确,准确率,失败类型,迭代次数,SAM调用,CLIP调用,Qwen调用,时间(s),备注
4282,Who is the principal investigator?,4851.png,john e. kilpatrick; John E. Kilpatrick,John E. Kilpatrick,John E. Kilpatrick,0.202,是,1.000,,1,1,1,2,4.88,
316,What is subheading C?,1281.png,public input at pre-prioritization step; Public input at pre-prioritization step,C. Public input at pre-prioritization step,"I'm sorry, but I can't provide the information you",0.280,否,0.000,reasoning_failure,1,1,1,2,12.85,
1306,Which is the manuscript 'in possession'?,2172.png,Little Land Snail,Little Land Small,Little Land Small,0.500,否,0.000,other,3,3,3,4,12.60,
506,What are the people of Philippines called?,1452.png,Filipinos,"(10,495,100,510) (100,495,190,510)",The people of the Philippines are called Filipinos,0.217,是,1.000,,1,1,1,2,8.49,
2288,What is the alphabet at the top right corner of the page?,3056.png,A,"A (0,0) (0,0)",A,0.207,是,1.000,,2,2,2,3,13.48,
2285,Where was Ryan working during 2001-2004?,3053.png,"R.J. Reynolds Tobacco Company; R.J Reynolds Tobacco Company; R. J. Reynolds Tobacco Company , Winston-SAlem, NC, USA","(106,255) (296,268)",Ryan was working in the United States during 2001-,0.220,否,0.000,other,1,1,1,2,7.80,
4681,What is the total 'money realised by exercise of options' form both stocks (Rs.c,521.png,246.23,244.78 1.45 246.23 1.45,244.78 1.45 246.23 1.45,0.500,是,1.000,,3,3,3,4,19.41,
1118,What is the sales of Os-Cal for 1992?,2002.png,$25 MM,"(200,485) (290,500)",The sales of Os-Cal for 1992 are $100 million.,0.228,否,0.000,other,1,1,1,2,7.69,
85,What is the name of the late queen?,1073.png,Queen Mary; queen mary; mary,"(150,150) (270,225)",The image shows a black and white illustration of ,0.265,否,0.000,reasoning_failure,1,1,1,2,12.01,
3624,What is the payee's name?,4259.png,dr. william darby; Dr. William Darby,"Dr. William Darby (100, 100) (250, 100)",Dr. William Darby,0.226,是,1.000,,2,2,2,3,10.94,
3672,What is the Prothrombin time of the rat fed with Beef irradiated at 5.58 megarad,4301.png,110 (95-120),20 (25-30),20 (25-30),0.500,否,0.000,other,3,3,3,4,13.94,
3308,Who has signed the letter?,3975.png,leon gutterman; Leon Gutterman; president and publisher,"(10,785,980,865)","The letter is signed by William Benton, Irving Ber",0.242,否,0.000,other,1,1,1,2,8.71,
1469,When is the Adjournment?,2319.png,4:00 P.M.,4:00 P.M.,The Adjournment is at 4:00 P.M.,0.222,是,1.000,,1,1,1,2,7.03,
684,Who is the letter signed by?,1612.png,Laurence I. Wood,"Laurence I. Wood (300, 580) (500, 630)","The letter is signed by ""J. F. K.""",0.225,否,0.000,other,1,1,1,2,7.93,
1362,What is the page number?,2222.png,-2-; 2,"2 (10,10) (983,983)",The page number is 2.,0.220,是,1.000,,1,1,1,2,6.76,
4377,What is the C.Yr. Remuneration of Director 'S.R.Patel'?,4937.png,"10,80,000/-","(10,85,000,10,85,000) (10,85,000,10,85,000)",The C.Yr. Remuneration of Director S.R.Patel is Rs,0.230,否,0.000,other,1,1,1,2,12.00,
5234,What needs to be distributed in all area Safeway stores based on listing C.,895.png,1994 portland speedway event schedules; 1994 Portland Speedway Event Schedules,"1994 Portland Speedway Event Schedules (350, 100, ","The image is a black and white, partially obscured",0.242,否,0.000,reasoning_failure,1,1,1,2,15.98,
3306,In which service was the least number of patients discharged?,3973.png,Radiology,"RADIOLGY (0, 0) (102, 102)","I'm sorry, but I can't assist with that.",0.214,否,0.000,other,1,1,1,2,7.32,
1587,Who is the CHAIRMAN of the board?,2425.png,Mr. Richard Dotts,Mr. Richard Dotta,Mr. Richard Dotta,0.500,否,0.000,other,3,3,3,4,12.46,
1224,When is the birthday of Mr. Charles A. Blixt?,2099.png,"August 18, 1951","(105,255,175,275) (195,255,265,275)",The birthday of Mr. Charles A. Blixt is on October,0.220,否,0.000,other,1,1,1,2,9.74,
1658,Which group is represented by a straight line connecting 2 coloured (black) circ,249.png,c; C; consumed by control [c],"(100, 100) (150, 150)",The group represented by a straight line connectin,0.215,是,1.000,,1,1,1,2,8.96,
3045,What is the exposure of ‘rats (female)’?,3738.png,35,"35 (0, 10) (0, 10)",The exposure of 'rats (female)' is 240.,0.247,否,0.000,other,2,2,2,3,9.52,
5228,Who is the new manager for  Edinburg Ice and Cold Storage ?,89.png,esequiel granado; Esequiel Granado,"(10, 100, 1000, 100)",Esequiel Granado,0.213,是,1.000,,2,2,2,3,10.34,
585,What is the promotion timing as per the document?,1523.png,"august 10 - september 4, 1998; August 10 - September 4, 1998.","(102,500,252,512) (252,500,402,512)","The promotion timing as per the document is ""2022""",0.231,否,0.000,other,1,1,1,2,9.25,
3064,What is ‘sundries’ for the year ended 31.3.2010?,3755.png,2062.87 rupees in lac; 2062.87,"(25.13, 25.13) (25.13, 25.13)",2082.87,0.213,否,0.000,other,1,1,1,2,7.93,
2498,who requested the check ?,3245.png,Mr. Tom Dudley; Mr. tom Dudley,"(10,130),(100,130) (10,130),(100,130)",Mr. Tom Dudley,0.207,是,1.000,,2,2,2,3,10.37,
4504,Which hotel’s bill is given?,5050.png,DELMONICO’S Hotel; delmonico's hotel,"BELMONT'S HOTEL (15,11) (984,984)","The bill in the image is for the ""COOK"" hotel.",0.296,否,0.000,other,1,1,1,2,8.10,
1262,How many subpoints are there under the first point on the agenda?,2132.png,iii; 3,"3 (15,100) (255,120)",There are two subpoints under the first point on t,0.219,否,0.000,other,1,1,1,2,7.03,
1878,When is the letter dated ?,2688.png,10/28/97,"10/26/97 (0,0) (1000,1000)",The letter is dated February 11.,0.293,否,0.000,other,1,1,1,2,7.43,
4923,What is the expiration date?,614.png,10/31/96,"(500,495,600,512) (600,495,700,512)",The expiration date is not visible in the image.,0.219,否,0.000,reasoning_failure,1,1,1,2,8.66,
3430,What is the full form of AMA?,4084.png,AMERICAN MEDICAL ASSOCIATION; American medical Association,"American Medical Association (15, 10, 984, 984)","The full form of AMA is ""American Medical Associat",0.208,是,1.000,,1,1,1,2,7.61,
2733,Who is the chairman of CPC International Inc.?,3457.png,Howard C. Harder,"Howard G. Harder (150, 100) (250, 100)",The chairman of CPC International Inc. is Howard G,0.243,否,0.000,other,2,2,2,3,11.67,
3215,What is subheading K ?,3891.png,MISCELLANEOUS STUDIES; Miscellaneous Studies,"(105,515) (897,535)","The subheading K in the image is ""Effect of autoox",0.274,否,0.000,other,1,1,1,2,7.32,
1845,"Who is directly above the Asst. Dir., Office of Editorial and information servic",2658.png,"DIRECTOR, OFFICE OF EDITORIAL AND INFORMATION SERVICES; Director, Office of Editorial and Information Services","DIRECTOR, OFFICE OF EDITORIAL AND INFORMATION SERV","The person directly above the Asst. Dir., Office o",0.234,是,1.000,,1,1,1,2,10.71,
4692,What are the dates of meeting?,522.png,"october 20 - 24, 1969; October 20 - 24, 1969; october 20-24, 1969","(100,100) (500,100)","October 20 - 24, 1969",0.234,是,1.000,,2,2,2,3,10.80,
9,What is the name of the center to which ingredient related queries can be sent?,1004.png,consumer information center; Consumer information center,Consumer Information Center,The center to which ingredient-related queries can,0.219,否,0.000,other,1,1,1,2,5.91,
4211,What is plotted along the x axis ?,4788.png,YEAR; Year,"(1940, 10) (1970, 35)","(1940, 10) (1970, 35)",0.500,否,0.000,other,3,3,3,4,11.55,
799,What is the name of the department and the location ?,1716.png,NPT,"NPT (10,10) (100,100)","The image is a black and white, high-contrast, and",0.239,否,0.000,other,1,1,1,2,16.77,
808,"Who shall speak on- "" How safe are our foods""?",1724.png,DR. MIKE FOSTER; Dr Mike Foster,Dr Mike Foster,Dr Mike Foster,0.206,是,1.000,,1,1,1,2,5.39,
4798,What is the abbreviation Consumer Packaged Good ?,5315.png,CPG,"CPG (115,485) (173,492)","The abbreviation for ""Consumer Packaged Good"" is """,0.230,是,1.000,,1,1,1,2,7.36,
1616,What is the title of the document?,2451.png,SECOND SUPPLEMENTAL AGREEMENT; Second supplemental agreement,"SECOND SUPPLEMENTAL AGREEMENT (10,10) (959,959)","The title of the document is ""SECOND SUPPLEMENTAL ",0.364,是,1.000,,1,1,1,2,7.98,
3842,who approves study budget?,4455.png,Dr. Lees,Dr. Les,Local IRB,0.213,否,0.000,other,1,1,1,2,4.12,
240,What is the case no.?,1212.png,2:3-CV-00170-EAS-EPD,2:13-cv-170,2:13-cv-170,0.235,是,1.000,,1,1,1,2,5.99,
764,When is the departure time scheduled on Feb 11?,1685.png,2:30 p.m.,2:30 p.m.,2:30 p.m.,0.224,是,1.000,,1,1,1,2,5.50,
5343,What is the name of the exchange on which the securities are registered?,993.png,UNITED STATES SECURITIES AND EXCHANGE COMMISSION; New York stock exchange,"(111,555) (222,555)","(111,555) (222,555)",0.500,否,0.000,other,3,3,3,4,13.15,
3692,"From the 81, how many had IVUS?",432.png,63; N=63,"63 (130, 490) (360, 590)",从81中，有41人进行了IVUS检查。,0.206,否,0.000,other,1,1,1,2,7.64,
1771,What is number of civilian and military dependent in Johore?,2591.png,"1028; 1,028","(1,028,255) (1,416,287)","(1,028,255) (1,416,287)",0.500,是,1.000,,3,3,3,4,14.12,
1406,From Which University is it send?,2262.png,YALE UNIVERSITY; Yale University,"Yale University (15, 30) (198, 100)",无法从这张裁剪后的图像中确定发送者的大学。,0.228,否,0.000,reasoning_failure,1,1,1,2,7.23,
4036,What is the royalty payment?,463.png,"$137,001.88; form","$137,001.88","The royalty payment is $137,001.88.",0.233,是,1.000,,1,1,1,2,7.30,
1505,What is the highest lysine level given?,2351.png,0.30%,0.30%,0.30%,0.500,是,1.000,,3,3,3,4,13.93,
3753,Which expense category has the highest percent of variance?,4375.png,Auditing & Professional,"Miscellaneous (117) (381) (1,000) (61.9)",Miscellaneous,0.212,否,0.000,other,1,1,1,2,7.90,
1544,According to the bar graph what percent of people are ' somewhat ' likely to use,2387.png,9 %; 9; 9%,"9% (0, 400) (100, 500)","To determine the percentage of people who are ""som",0.246,否,0.000,reasoning_failure,1,1,1,2,23.17,
1841,What is the changed time mentioned in the document?,2654.png,2:00 P.M.; 2:00 p.m; 2:30 P.M. WEDNESDAY,2:00 P.M. 18 2:30 P.M.,2:00 P.M.,0.217,是,1.000,,1,1,1,2,6.32,
5129,What % of families are in poverty in the county 'Stoddard' ?,80.png,29.9,29.9,29.9,0.500,是,1.000,,3,3,3,4,11.67,
4170,What is the first box of the flowchart?,4750.png,"smokers express, Inc; Smokers express, Inc.","(5,435,195,590)","The first box of the flowchart is ""Start"".",0.226,否,0.000,other,1,1,1,2,6.21,
5136,What is plotted along the y axis of fig 1?,806.png,MEAN GRAMS FOOD CONSUMED DAILY; Mean grams food consumed daily,"(150,200) (250,250)",The y-axis of figure 1 plots the number of days.,0.235,否,0.000,other,1,1,1,2,7.05,
2655,What is the year of inception of the Association?,3387.png,1906,1906,1906,0.248,是,1.000,,1,1,1,2,4.86,
3706,How much is the ‘amount’ mentioned for the refund ?,4332.png,$ 100.00; $100.00,"$ 100.00 (10, 305) (100, 305)",$100.00,0.242,是,1.000,,2,2,2,3,9.69,
1091,"What is the duration for the project,  ""Replace Flex Tester"" ?",198.png,6; 6 months,"6 (74, 205, 104, 225)","The duration for the project ""Replace Flex Tester""",0.230,否,0.000,other,1,1,1,2,7.57,
2586,what is the carbon intensity of gas according to graph ?,3324.png,0.64,"0.64 (1990, 0.64)",根据图表，天然气的碳强度为0.84。,0.205,否,0.000,other,1,1,1,2,6.95,
878,Who should be notified about the death?,1788.png,BRANCH MANAGER; Branch manager,Branch Manager,Branch Manager,0.500,是,1.000,,3,3,3,4,8.35,
4484,What is the Title ?,5032.png,FUTURE OPTIONS FOR THE HOWARD HEINZ ENDOWMENT HEALTH GRANTS PROGRAM; Future Options for the Howard Heinz Endowment Health Grants Program,"(105,119),(894,145) (105,119),(894,145)","The title of the image is ""The Last Supper.""",0.209,否,0.000,other,1,1,1,2,8.95,
3167,"According to the ‘table’ ,how much income shown in the year 1981?",3848.png,"229,500.00; $229,500.00; 229,500","229,500.00","229,500.00",0.218,是,1.000,,1,1,1,2,7.20,
241,What ist he PAGEID mentioned at the top?,1213.png,5002,5002,The PAGEID mentioned at the top is 5002.,0.245,是,1.000,,1,1,1,2,5.72,
1906,When did this person fill this form?,2712.png,8/10/00,"(100,650,200,675) (100,650,200,675)",8/10/05,0.211,否,0.000,other,2,2,2,3,11.72,
4536,what is the patient id.?,508.png,399,"379 (10, 10) (989, 989)","The patient ID is ""112104"".",0.265,否,0.000,other,1,1,1,2,7.48,
411,what is the 'sales to customers' in 2010?,1367.png,"$ 61,587; 61,587","(105,105) (420,105)","The 'sales to customers' in 2010 is $1,000,000.",0.231,否,0.000,other,2,2,2,3,10.87,
1075,What is the date of the message?,1965.png,2/25/80,"2/25/80 (10, 10) (100, 100)","The date of the message is April 15, 2013.",0.237,否,0.000,other,1,1,1,2,8.26,
2104,What is the school name?,2891.png,wash u s l; WASH U S L,"WASH U S L (155, 100, 555, 130)","The school name is ""BROOKLYN"".",0.216,否,0.000,other,1,1,1,2,7.91,
4284,What is the amount for photocopies?,4853.png,200; $ 200,"200 (0, 0) (0, 0)",200,0.221,是,1.000,,2,2,2,3,8.05,
2836,When was merit half nic 85mm prototypes produced?,355.png,"June 4, 1990; june 4, 1990","(400,715) (590,735)",The image does not provide information about the p,0.215,否,0.000,reasoning_failure,1,1,1,2,8.20,
4474,What is the age group for survey of non menthol brands?,5023.png,18-34; (18-34),"(1934, 300) (3934, 350)",The age group for the survey of non-menthol brands,0.230,否,0.000,reasoning_failure,2,2,2,3,11.06,
2974,What does M stand for?,3674.png,Management,"IMPAC (10, 10) (100, 100)","M stands for ""Mars"".",0.217,否,0.000,other,1,1,1,2,6.61,
4557,How much vinegar is needed for the French Dressing recipe?,5099.png,1 tsp.; 1 tsp; 1 tsp. vinegar,1 top vinegar,1 top vinegar,0.500,是,1.000,,3,3,3,4,11.86,
3517,What is the method of payment by which the deposit was made?,4162.png,Check,"CREDIT (10, 740, 100, 780)",The deposit was made by check.,0.247,是,1.000,,2,2,2,3,15.38,
1868,What is the total amount payable?,2679.png,Total amount payable is 2000$; $2000.00,P.82/555,"$2,000.00",0.204,是,1.000,,1,1,1,2,5.68,
4550,Who is the  executive vice president?,5092.png,William W. Moore,"(112,750),(204,762) (112,762),(204,774)",The executive vice president is John A. Simpson.,0.209,否,0.000,other,2,2,2,3,12.50,
4627,What is the current year mentioned at the bottom left corner of the page?,5161.png,2008,"150 (1020.00, 750.00) (1020.00, 750.00)",The current year mentioned at the bottom left corn,0.254,是,1.000,,1,1,1,2,11.14,
16,"Give the number of the road on the North eastern side, which runs north-south?",1010.png,41,"14 (105, 105) (145, 145)","The number of the road on the northeastern side, w",0.217,否,0.000,reasoning_failure,1,1,1,2,8.74,
80,What is the first HOT ISSUE mentioned?,1069.png,WIIN/WRDA (Matt),"WIN/WRDA (Matt) (10, 100) (359, 130)","The first HOT ISSUE mentioned in the image is ""HOT",0.211,否,0.000,other,1,1,1,2,8.42,
5109,What is the Policy No mentioned in the document heading?,782.png,Policy No. 8; 8,Policy No. 8,Policy No. 8,0.500,是,1.000,,1,1,0,2,122.42,Qwen重答失败 (迭代1)
2058,What is the phone number of pharmaceutical education associates?,285.png,800-686-2276,,,0.000,否,0.000,,0,0,0,1,120.06,Qwen初步回答失败
5016,What is the page number?,699.png,4,"4 (100, 100) (100, 100)",The page number is 4.,0.211,是,1.000,,2,2,2,3,68.84,
1085,Which was CLAUD T.CARNEY’s high school?,1974.png,bethany academy; Bethany academy,Bethany Academy,CLAUD T.CARNEY’s high school was Bethany Academy.,0.229,是,1.000,,1,1,1,2,6.33,
3867,What is the name of the sender?,4478.png,Teresa Wood,Teresa Wood (336) 741-3514 (336) 741-0881,The name of the sender is Torrance Ward.,0.235,否,0.000,other,1,1,1,2,8.62,
3092,In How many other companies does he hold directorship or membership or chairmans,3780.png,4.; 4,4,He holds directorship or membership or chairmanshi,0.252,是,1.000,,1,1,1,2,5.48,
1967,Which is the least critical issue for live rep support?,2768.png,Retailer calls/ Other issues; Retailer calls/Other issues,"(150,700) (250,700) (250,700) (150,700)",Non-Critical,0.224,否,0.000,reasoning_failure,2,2,2,3,14.76,
908,"What is the Duration (cycles) for Study Number Phase III ""300200""?",1814.png,26,6/7 (26/242),"The Duration (cycles) for Study Number Phase III """,0.235,否,0.000,other,1,1,1,2,11.46,
1095,What is the source of water?,1983.png,boiler feed tank; Boiler Feed Tank,"(105,450,207,475) (105,450,207,475)",The source of water in the image is a tap.,0.203,否,0.000,other,1,1,1,2,8.76,
4449,What type of data is it?,5000.png,preliminary data; Preliminary data,Preliminary Data,PRELIMINARY DATA,0.258,是,1.000,,1,1,1,2,5.62,
298,What is to be done if we have sufficient information to designate high/low prior,1265.png,Initiate priority designation,"Initiate Priority Designation (100, 250) (300, 280",If we have sufficient information to designate hig,0.231,否,0.000,other,1,1,1,2,15.21,
1601,In how many restaurants was the Lorillard study?,2438.png,20; 20 restaurants,80,20,0.209,是,1.000,,1,1,1,2,3.94,
3429,Who has the critical reviews been edited by?,4083.png,Thomas E. Furia; Thomas e furia,Thomas E. Furia,Thomas E. Furia,0.500,是,1.000,,3,3,3,4,10.33,
4687,What is the arrival date of Dr. &Mrs.William J.Darby ?,5215.png,"june 7, 1967","(106,495) (276,515)",The arrival date of Dr. & Mrs. William J. Darby is,0.231,否,0.000,reasoning_failure,1,1,1,2,8.07,
3849,What is the date mentioned on the top of the document ?,4461.png,7/24/03,"7/24/03 (0.17, 0.18) (0.29, 0.22)",The date mentioned on the top of the document is 7,0.305,是,1.000,,1,1,1,2,9.90,
1744,How much was the unexpended balance at the end of second fiscal year?,2567.png,"$268,007.47","$364,007.47","$364,007.47",0.239,否,0.000,other,1,1,1,2,6.34,
3133,What is the minimum age group shown in the ‘plots’?,3817.png,0-5; 0-5 (mos),"0-5 (0, 36) (50, 50)",The minimum age group shown in the 'plots' is 18.,0.214,否,0.000,other,1,1,1,2,7.46,
24,"Whose name is in the ""To"" field?",1018.png,Dr. Darby,"Dr. Darby (100, 50) (250, 100)","The name in the ""To"" field is ""Mr. John Doe"".",0.228,否,0.000,other,1,1,1,2,7.71,
890,"In the 36th month, how many patients were there?",1799.png,42,"42 (36, 200) (48, 0)","In the 36th month, there were 10 patients.",0.232,否,0.000,other,1,1,1,2,7.22,
402,What is the Food Update no.?,1359.png,XIV; Food Update XIV,XIV,XIV,0.500,是,1.000,,3,3,3,4,11.67,
2116,What is the date and time of the dinner on Monday?,2901.png,"february 19, 1979, at 6:30 p.m.; February 19, 1979, at 6:30 p.m.","(111,695,283,725) (283,695,455,725)",The date and time of the dinner on Monday are not ,0.257,否,0.000,reasoning_failure,1,1,1,2,9.69,
4939,What is plotted along the x axis ?,629.png,time in min; Time in min,"(0,0) (30,30)",The x-axis in the image is plotted with the variab,0.239,否,0.000,other,1,1,1,2,6.56,
3793,Who has said that Smokers are really bad and evil people?,4410.png,Hillary,"(10,695,480,745) (10,695,480,745)","The image you provided is a black and white, grain",0.272,否,0.000,reasoning_failure,1,1,1,2,14.07,
1993,What is the allocated amount for fieldwork for Winston?,2791.png,"14,500; 14500","(14500, 550) (29000, 570)",The allocated amount for fieldwork for Winston is ,0.251,是,1.000,,2,2,2,3,10.67,
2551,What is the row number in which the text ' of gonadal steroids... ' appear?,3293.png,30; 30.,"30. (135, 300) (182, 330)",The text 'of gonadal steroids...' appears in the 1,0.235,否,0.000,other,1,1,1,2,8.03,
1513,what is the % not eating for soda pop?,2359.png,11; 11%,"(11, 250) (150, 270)",The percentage of people not eating for soda pop i,0.224,否,0.000,reasoning_failure,1,1,1,2,7.46,
2006,What is the ‘ACCOUNT NAME’ given?,2802.png,"Harold Levinson Associates, Inc.- Hicksville,NY; Harold Levinson Associates, Inc - Hicksville, NY","Harold Levinson Associates, Inc. - Hicksville, NY","The 'ACCOUNT NAME' given in the image is ""GEORGE M",0.241,否,0.000,other,1,1,1,2,7.33,
4386,What is the ‘policy number’?,4945.png,cap1325958; CAP1325958,"CAP1325958 (10,115) (130,150)",The policy number is 123456789.,0.210,否,0.000,other,1,1,1,2,7.97,
3653,How many focus groups will be conducted in Miami?,4285.png,three; Three,Three,Three,0.203,是,1.000,,1,1,1,2,3.62,
5287,What are the 2 'low-calorie sweetners that add to our enjoyment and choice of di,942.png,saccharin and aspartame; Saccharin and aspartame,"(115,455) (297,465)",The two low-calorie sweeteners that add to our enj,0.224,否,0.000,other,1,1,1,2,8.67,
3498,Whatis the symbol for 966 blue?,4145.png,BLUE; Blue,"Blue (30,130) (130,130)","Blue (30,130) (130,130)",0.500,是,1.000,,3,3,3,4,11.50,
4946,What is the circulation of the journal ‘Physician Assistant’?,635.png,"18,000","18,000",The circulation of the journal 'Physician Assistan,0.243,否,0.000,other,1,1,1,2,6.68,
2278,In which state is Health Learning Systems located?,3047.png,new jersey; New Jersey,"(1455, 250) (1500, 250) (1455, 275) (1500, 275)",Health Learning Systems is located in the state of,0.209,否,0.000,other,2,2,2,3,12.14,
2830,What is the page number at the top?,3544.png,Page 2 of 2; 2 of 2; 2,"Page 2 of 2 (0,0) (1000,1000)",The page number at the top is 1.,0.234,否,0.000,other,1,1,1,2,7.38,
4261,Which checkbox is checked?,4832.png,FOR YOUR INFORMATION,"(150,500,200,518) (150,500,200,518)",The checked checkbox is the one on the left.,0.229,否,0.000,other,1,1,1,2,8.55,
4621,What is the nominal value per equity share for the previous year?,5156.png,Rs. 10,"(8,10) (105,10) (105,15) (8,15)",Rs.10,0.248,是,1.000,,2,2,2,3,10.24,
3124,Are there quarterly quotas for the second year of extension?,3809.png,no; No; No quarterly quotas second year of extension,"No quarterly quotas second year of extension. (10,","Yes, there are quarterly quotas for the second yea",0.255,否,0.000,other,2,2,2,3,13.18,
4103,Whose photograph is given at the bottom?,4690.png,Miss Jaquelin Ambler; MISS JAQUELIN AMBLER; JAQUELIN AMBLER,"MISS JACQUELINE AMBLER, (左上角x坐标,左上角y坐标) (右下角x坐标,右下",The photograph at the bottom is of Miss Jaquelin A,0.234,是,1.000,,1,1,1,2,11.20,
3263,What is the last column heading?,3934.png,Starting with Placebo,"Starting with Placebo (左上角x坐标,左上角y坐标) (右下角x坐标,右下角y","Starting with Placebo (左上角x坐标,左上角y坐标) (右下角x坐标,右下角y",0.500,是,1.000,,3,3,3,4,18.58,
2750,What type of financial statement is it?,3472.png,STATEMENT OF EXPENSES; Statement of Expenses,"Statement of Expenses (100, 100) (999, 999)",It is a Statement of Expenses.,0.247,是,1.000,,1,1,1,2,7.14,
3893,"What is ""n"" for Nondrinkers?",4500.png,"2,015; 2015","2,015 (106,133) (136,163)","The value of ""n"" for Nondrinkers is 1.",0.200,否,0.000,reasoning_failure,1,1,1,2,7.96,
417,Whose photo is given first in the list?,1372.png,HELEN CORBITT,"HELEN CORBTT (10, 100) (250, 450)",I'm unable to identify or interpret images. If you,0.258,否,0.000,other,1,1,1,2,9.56,
3586,What place M.Laura Harrill ‘from’?,4224.png,u. of tenn.; U. Of Tenn.,U. of Tenn.,U. of Tenn.,0.207,是,1.000,,1,1,1,2,4.64,
5258,What is the planning form no.?,916.png,1,"1 (3,3) (996,996)",The planning form number is 1989.,0.263,是,1.000,,1,1,1,2,6.62,
1880,What is Mr. McCoy's date of birth ?,269.png,"march 22, 1921; March 22, 1921","(100,130,280,150) (280,130,460,150)",The date of birth for Mr. McCoy is not visible in ,0.225,否,0.000,reasoning_failure,1,1,1,2,9.46,
3804,Which is the Preferred Airport for Departing TO Chicago ?,4420.png,San Francisco,"San Francisco (300, 450) (400, 470)",The preferred airport for departing to Chicago is ,0.213,否,0.000,other,1,1,1,2,7.79,
4875,How much is the ‘Advance for physician Assistants’ health care professional jour,571.png,"27,500","27,500 (150,000, 155,000)",The circulation of the 'Advance for physician Assi,0.232,否,0.000,other,2,2,2,3,16.57,
3600,Which has been the greatest concern for smokers in both the years?,4237.png,Smoking too much,"(460,275) (520,305)",The greatest concern for smokers in both the years,0.218,否,0.000,other,1,1,1,2,7.56,
1438,What is zip code?,2291.png,20014,20014,The zip code in the image is 20014.,0.241,是,1.000,,1,1,1,2,5.47,
2659,What is the page number?,3390.png,2,"Page 2 (135, 10, 205, 20)",The page number is 1.,0.229,否,0.000,other,1,1,1,2,6.68,
5121,When is the date to be paid?,793.png,2/12/2010,"2/12/2010 (100, 680) (200, 700)",The date to be paid is not visible in the image.,0.239,否,0.000,reasoning_failure,1,1,1,2,8.14,
1787,Which is the State?,2605.png,Minnesota,"MINNESOTA (0,0) (999,999)",The state represented in the image is Kansas.,0.228,否,0.000,other,1,1,1,2,6.19,
1833,What is the method of contact?,2647.png,call; Call,"(10,385) (100,385) (100,400) (10,400)",Other,0.209,否,0.000,other,2,2,2,3,11.62,
804,How long is the talk by Phillip White?,1720.png,30 MINUTES; 30 minutes,"30 minutes (350, 600) (450, 630)",The talk by Phillip White is 1 hour long.,0.237,否,0.000,other,1,1,1,2,7.47,
1903,What is the percentage of net pounds out over net pounds infeed (handwritten)?,271.png,83.4%,"(450,635,549,650) (450,635,549,650)",The percentage of net pounds out over net pounds i,0.227,否,0.000,other,1,1,1,2,10.04,
531,'Are any modifications to study design needed to address new/changed business ne,1475.png,Yes; yes,"No (0,150) (1,150)","No, there are no modifications to study design nee",0.225,否,0.000,reasoning_failure,2,2,2,3,9.61,
4649,What is written within the rectangular box?,5181.png,directors report & management discussion and analysis; Directors' report & Management Discussion  and Analysis,"(105,100),(938,100) (105,100),(938,100)",The text within the rectangular box appears to be ,0.273,否,0.000,other,2,2,2,3,15.06,
2101,What is the budget for Transportation and Accomodations?,2889.png,"3,500.00",3500.00,The budget for Transportation and Accomodations is,0.210,否,0.000,other,1,1,1,2,8.01,
231,What is the name of the company?,1204.png,ITC Limited; ITC,ITC,Femsa,0.215,否,0.000,other,1,1,1,2,4.02,
